KNN TF,,,,
Topic,Accuracy,Precision,Recall,F1
earn,0.9734017732,0.9762340037,0.9717925387,0.9740082079
acq,0.9612692487,0.9729907773,0.9723502304,0.9726703984
moneyfx,0.9682687821,0.9740009629,0.9931271478,0.9834710744
crude,0.979934671,0.9813634134,0.9975074776,0.9893695921
grain,0.9771348577,0.9846743295,0.9917993247,0.9882239846
trade,0.9687354176,0.9747739172,0.9932104753,0.9839058371
interest,0.975734951,0.9868549172,0.9878167641,0.9873356064
wheat,0.9874008399,0.9900896649,0.997148289,0.9936064409
ship,0.9687354176,0.9793764988,0.9883833495,0.983859311
corn,0.9906672888,0.9915809167,0.9990574929,0.9953051643
,,,,
KNN TFIDF,,,,
Topic,Accuracy,Precision,Recall,F1
earn,0.9986000933,0.997277677,1,0.9986369832
acq,0.9981334578,0.9973736047,1,0.9986850756
moneyfx,0.9822678488,0.9906725577,0.9906725577,0.9906725577
crude,0.9906672888,0.996996997,0.9930209372,0.995004995
grain,0.9962669155,0.9961556944,1,0.9980741454
trade,0.9972001867,0.997098646,1,0.9985472155
interest,0.9874008399,0.9912663755,0.9956140351,0.9934354486
wheat,0.9944003733,0.997621313,0.9966730038,0.997146933
ship,0.9869342044,0.9913211186,0.9951597289,0.993236715
corn,0.9939337378,0.9948381042,0.9990574929,0.9969433341
,,,,
SVM LINEAR TF,,,,
Topic,Accuracy,Precision,Recall,F1
earn,0.9934671022,0.9972502291,0.9899909008,0.9936073059
acq,0.9878674755,0.991441738,0.991441738,0.991441738
moneyfx,0.9710685954,0.9862136878,0.9833087874,0.9847590954
crude,0.9836677555,0.9949773983,0.9875373878,0.9912434326
grain,0.9846010266,0.9946653734,0.9893873613,0.992019347
trade,0.9888007466,0.9946601942,0.9936954413,0.9941775837
interest,0.9752683154,0.9859017987,0.9883040936,0.9871014845
wheat,0.9869342044,0.9947569113,0.9919201521,0.9933365064
ship,0.9706019599,0.9868740885,0.9825750242,0.9847198642
corn,0.9892673822,0.9962174941,0.992931197,0.9945716309
,,,,
SVM LINEAR TFIDF,,,,
Topic,Accuracy,Precision,Recall,F1
earn,0.9897340177,0.995400184,0.9845313922,0.9899359561
acq,0.9785347643,0.9913275517,0.978275181,0.984758118
moneyfx,0.971535231,0.9881422925,0.9818360334,0.9849790692
crude,0.9729351377,0.993414387,0.9775672981,0.9854271357
grain,0.9878674755,0.9961221522,0.991316932,0.9937137331
trade,0.9836677555,0.9946315276,0.9883608147,0.9914862564
interest,0.9734017732,0.9863481229,0.9858674464,0.9861077261
wheat,0.9832011199,0.9942638623,0.9885931559,0.9914204004
ship,0.9692020532,0.9906771344,0.977250726,0.9839181287
corn,0.9897340177,0.9966887417,0.992931197,0.9948064212
,,,,
DECISION TREE TF,,,,
Topic,Accuracy,Precision,Recall,F1
earn,0.9379374708,0.9480519481,0.9299363057,0.9389067524
acq,0.9258049463,0.9314720812,0.9664252798,0.9486268174
moneyfx,0.951469902,0.9675858732,0.9818360334,0.9746588694
crude,0.9771348577,0.9813084112,0.9945164506,0.9878682842
grain,0.9934671022,0.9932918064,1,0.9966346154
trade,0.9682687821,0.9747619048,0.9927255092,0.9836617011
interest,0.9706019599,0.9802028006,0.9892787524,0.9847198642
wheat,0.9934671022,0.9976190476,0.9957224335,0.9966698382
ship,0.9794680355,0.9791469194,1,0.9894636015
corn,0.9939337378,0.9957686883,0.9981149859,0.9969404566
,,,,
DECISION TREE TFIDF,,,,
Topic,Accuracy,Precision,Recall,F1
earn,0.938870742,0.9481481481,0.9317561419,0.9398806792
acq,0.9267382175,0.9299242424,0.969716919,0.9494038028
moneyfx,0.9575361643,0.968238691,0.9877270496,0.9778857837
crude,0.9808679421,0.9939668175,0.9855433699,0.9897371715
grain,0.9934671022,0.9932918064,1,0.9966346154
trade,0.9617358843,0.9669811321,0.9941804074,0.9803921569
interest,0.967335511,0.9705603039,0.9961013645,0.9831649832
wheat,0.99160056,0.9980897803,0.9933460076,0.9957122439
ship,0.9832011199,0.9875120077,0.9951597289,0.9913211186
corn,0.9925338311,0.9943661972,0.9981149859,0.9962370649
