KNN TF,,,,
Topic,Accuracy,Precision,Recall,F1
earn,0.9110444778,0.9704198473,0.976945245,0.9736716132
acq,0.9110444778,0.9234449761,0.9338709677,0.9286287089
money-fx,0.9110444778,0.7045454545,0.4492753623,0.5486725664
crude,0.9110444778,0.9135802469,0.7551020408,0.8268156425
grain,0.9110444778,0,0,0
trade,0.9110444778,0.7638888889,0.7534246575,0.7586206897
interest,0.9110444778,0.6338028169,0.775862069,0.6976744186
wheat,0.9110444778,0,0,0
ship,0.9110444778,0.4,0.6285714286,0.4888888889
corn,0.9110444778,0,0,0
,,,,
KNN TFIDF,,,,
Topic,Accuracy,Precision,Recall,F1
earn,0.9165417291,0.9729468599,0.967339097,0.9701348748
acq,0.9165417291,0.9478114478,0.9080645161,0.9275123558
money-fx,0.9165417291,0.7222222222,0.7536231884,0.7375886525
crude,0.9165417291,0.862745098,0.8979591837,0.88
grain,0.9165417291,0,0,0
trade,0.9165417291,0.7011494253,0.8356164384,0.7625
interest,0.9165417291,0.8913043478,0.7068965517,0.7884615385
wheat,0.9165417291,0,0,0
ship,0.9165417291,0.34375,0.6285714286,0.4444444444
corn,0.9165417291,0,0,0
,,,,
SVM LINEAR TF,,,,
Topic,Accuracy,Precision,Recall,F1
earn,0.924037981,0.967074318,0.9875120077,0.9771863118
acq,0.924037981,0.9710391823,0.9193548387,0.9444904722
money-fx,0.924037981,0.7462686567,0.7246376812,0.7352941176
crude,0.924037981,0.82,0.8367346939,0.8282828283
grain,0.924037981,0.05,0.1428571429,0.0740740741
trade,0.924037981,0.859375,0.7534246575,0.802919708
interest,0.924037981,0.8301886792,0.7586206897,0.7927927928
wheat,0.924037981,0,0,0
ship,0.924037981,0.4042553191,0.5428571429,0.4634146341
corn,0.924037981,0,0,0
,,,,
SVM LINEAR TFIDF,,,,
Topic,Accuracy,Precision,Recall,F1
earn,0.9275362319,0.9633113829,0.9836695485,0.9733840304
acq,0.9275362319,0.9644067797,0.9177419355,0.9404958678
money-fx,0.9275362319,0.7230769231,0.6811594203,0.7014925373
crude,0.9275362319,0.86,0.8775510204,0.8686868687
grain,0.9275362319,0.3333333333,0.5714285714,0.4210526316
trade,0.9275362319,0.8358208955,0.7671232877,0.8
interest,0.9275362319,0.7966101695,0.8103448276,0.8034188034
wheat,0.9275362319,0,0,0
ship,0.9275362319,0.5111111111,0.6571428571,0.575
corn,0.9275362319,0,0,0
,,,,
DECISION TREE TF,,,,
Topic,Accuracy,Precision,Recall,F1
earn,0.7816091954,0.9320113314,0.9481268012,0.94
acq,0.7816091954,0.6125265393,0.9306451613,0.7387964149
money-fx,0.7816091954,0,0,0
crude,0.7816091954,0,0,0
grain,0.7816091954,0,0,0
trade,0.7816091954,0,0,0
interest,0.7816091954,0,0,0
wheat,0.7816091954,0,0,0
ship,0.7816091954,0,0,0
corn,0.7816091954,0,0,0
,,,,
DECISION TREE TFIDF,,,,
Topic,Accuracy,Precision,Recall,F1
earn,0.7831084458,0.9355450237,0.9481268012,0.9417938931
acq,0.7831084458,0.6131078224,0.935483871,0.7407407407
money-fx,0.7831084458,0,0,0
crude,0.7831084458,0,0,0
grain,0.7831084458,0,0,0
trade,0.7831084458,0,0,0
interest,0.7831084458,0,0,0
wheat,0.7831084458,0,0,0
ship,0.7831084458,0,0,0
corn,0.7831084458,0,0,0
,,,,
NEURAL NET TF,,,,
Topic,Accuracy,Precision,Recall,F1
earn,0.7676161919,0.9351403679,0.9279538905,0.931533269
acq,0.7676161919,0.5888429752,0.9193548387,0.717884131
money-fx,0.7676161919,0,0,0
crude,0.7676161919,0,0,0
grain,0.7676161919,0,0,0
trade,0.7676161919,0,0,0
interest,0.7676161919,0,0,0
wheat,0.7676161919,0,0,0
ship,0.7676161919,0,0,0
corn,0.7676161919,0,0,0
,,,,
NEURAL NET TFIDF,,,,
Topic,Accuracy,Precision,Recall,F1
earn,0.5202398801,0.5202398801,1,0.684418146
acq,0.5202398801,0,0,0
money-fx,0.5202398801,0,0,0
crude,0.5202398801,0,0,0
grain,0.5202398801,0,0,0
trade,0.5202398801,0,0,0
interest,0.5202398801,0,0,0
wheat,0.5202398801,0,0,0
ship,0.5202398801,0,0,0
corn,0.5202398801,0,0,0
